slug,cluster,locality,property_type,lat,lng,shed_area,office_area,total_builtup,open_area,height_m,crane_capacity_ton,crane_count,power_hp,flooring,floor_load_mt,docks,ramps,fire_system,factory_plan_approved,parking_slots,rate_per_sqft,quoted_monthly_rent,deposit_months,availability,broker_name,broker_phone,source_url,notes,last_verified
chakan-90000-sqft-factory-under-construction,Chakan,"Chakan MIDC Phase II, Nanekarwadi",Factory building,18.7734,73.8688,85000,5000,90000,40000,13.5,15,2,250,Trimix,7,6,2,Sprinkler + hydrant,true,70,30,,9,Under construction,,+915550000009,https://www.squareyards.com/chakan-under-construction,Handover expected Q1 2027,2026-08-21
chakan-38000-sqft-shed-leased,Chakan,"Chakan MIDC Phase I, Mahalunge",Shed,18.7512,73.8557,35000,3000,38000,14000,11.5,5,1,100,Trimix,5,2,1,Fire NOC,true,30,,1250000,6,Leased out,,+915550000006,https://www.99acres.com/chakan-mahalunge-shed,Leased to a tier-2 supplier in July 2026,2026-07-28
chakan-72000-sqft-warehouse-lumpsum,Chakan,"Chakan MIDC Phase II, Khalumbre",Warehouse,18.7698,73.8592,70000,2000,72000,26000,12.0,,,80,VDF,6,8,2,Sprinkler + hydrant,true,50,,2016000,6,Ready,,+915550000002,https://www.magicbricks.com/chakan-khalumbre,Owner quotes a lump sum only,2026-08-12
chakan-26000-sqft-shed-16m-30t,Chakan,"Chakan MIDC Phase II, Bhamboli",Factory building,18.7789,73.8821,24000,2000,26000,15000,16.5,30,1,400,Trimix,10,2,1,Sprinkler + hydrant,true,35,42,,12,Ready,,+915550000015,https://www.99acres.com/chakan-heavy-fab-unit,Heavy fabrication bay with 16.5m under-hook clearance,2026-08-30
bhosari-22000-sqft-shed-10m,Bhosari,"Bhosari MIDC, Sector J",Shed,18.6342,73.8398,20000,2000,22000,6000,10.0,5,1,100,Trimix,5,2,1,Fire NOC,true,18,38,,6,Ready,,+915550000010,https://www.99acres.com/bhosari-midc-sector-j,,2026-08-18
bhosari-9000-sqft-unit-8m,Bhosari,"Bhosari MIDC, Sector F",Shed,18.6289,73.8341,8500,500,9000,2000,8.0,,,60,Plain RCC,,1,0,Fire NOC,true,8,35,,3,Ready,,+915550000010,https://www.realestateindia.com/bhosari-sector-f,,2026-08-18
bhosari-45000-sqft-factory-12m-crane,Bhosari,"Bhosari MIDC, Sector G, near Landewadi",Factory building,18.6401,73.8452,41000,4000,45000,12000,12.0,10,2,200,Trimix,6,3,1,Sprinkler + hydrant,true,40,40,,9,Ready,,+915550000013,https://www.magicbricks.com/bhosari-factory-landewadi,Established unit with two 10T cranes,2026-08-25
bhosari-14000-sqft-shed-no-crane,Bhosari,"Bhosari MIDC, Sector M",Shed,18.6318,73.8477,13000,1000,14000,3000,9.5,,,80,Trimix,4,1,1,,true,12,37,,6,Ready,,+915550000013,https://www.99acres.com/bhosari-sector-m,,2026-07-31
bhosari-60000-sqft-warehouse-docks,Bhosari,"Bhosari MIDC, near Nashik Phata",Warehouse,18.6255,73.8298,58000,2000,60000,15000,11.0,,,120,VDF,6,6,2,Sprinkler + hydrant,true,45,36,,6,Ready,,+915550000010,https://www.magicbricks.com/bhosari-nashik-phata,,2026-08-18
bhosari-11000-sqft-shed-old,Bhosari,"Bhosari MIDC, Sector C",Shed,18.6367,73.8312,10500,500,11000,2500,7.5,3,1,50,Plain RCC,3,0,1,,false,8,33,,3,Ready,,+915550000001,https://www.realestateindia.com/bhosari-sector-c,Older structure with a 3T crane in place,2026-06-28
bhosari-30000-sqft-shed-partial-data,Bhosari,Bhosari MIDC,Shed,,,,,30000,,11.0,,,,,,2,,,,,39,,6,Ready,,+915550000013,https://www.99acres.com/bhosari-30000,Exact plot not disclosed until site visit,2026-08-04
bhosari-18000-sqft-shed-leased-out,Bhosari,"Bhosari MIDC, Sector H",Shed,18.6334,73.8425,17000,1000,18000,4000,10.5,5,1,90,Trimix,5,2,1,Fire NOC,true,15,,684000,6,Leased out,,+915550000010,https://www.99acres.com/bhosari-sector-h,,2026-07-20
bhosari-85000-sqft-factory-15m-25t,Bhosari,"Bhosari MIDC, Sector T Block",Factory building,18.6423,73.8501,80000,5000,85000,25000,15.0,25,2,450,Trimix,9,4,2,Sprinkler + hydrant,true,90,44,,12,Ready,,+915550000013,https://www.squareyards.com/bhosari-heavy-unit,Forging shop layout with 450 HP sanctioned,2026-08-25
talegaon-150000-sqft-warehouse-14m,Talegaon,"Talegaon MIDC Phase II, near Navlakh Umbre",Warehouse,18.7345,73.6812,147000,3000,150000,60000,14.0,,,100,VDF,7,14,3,Sprinkler + hydrant,true,100,25,,6,Ready,,+915550000008,https://www.magicbricks.com/talegaon-warehouse-navlakh,Grade A box with 14m clear height,2026-08-27
talegaon-38000-sqft-shed-no-crane,Talegaon,"Talegaon MIDC Phase I, Ambi",Shed,18.7278,73.6754,35000,3000,38000,14000,10.0,,,,Trimix,5,2,1,Fire NOC,,30,23,,6,Ready,,+915550000008,https://www.99acres.com/talegaon-ambi-shed,Broker has not stated crane or sanctioned power,2026-08-27
talegaon-55000-sqft-factory-12m-10t,Talegaon,"Talegaon MIDC Phase II, Vadgaon Maval",Factory building,18.7412,73.6889,50000,5000,55000,22000,12.0,10,2,180,Trimix,6,3,1,Sprinkler + hydrant,true,50,26,,9,Ready,,+915550000003,https://www.squareyards.com/talegaon-factory-vadgaon,,2026-08-14
talegaon-20000-sqft-shed-8m,Talegaon,"Talegaon MIDC Phase I, Ambi",Shed,18.7261,73.6733,19000,1000,20000,5000,8.5,,,60,Plain RCC,4,1,1,,false,15,22,,3,Ready,,+915550000003,https://www.realestateindia.com/talegaon-20000,,2026-07-09
talegaon-95000-sqft-warehouse-under-construction,Talegaon,"Talegaon MIDC Phase II, Mangrul",Warehouse,18.7466,73.6921,92000,3000,95000,38000,13.5,,,150,VDF,7,10,2,Sprinkler + hydrant,true,70,24,,9,Under construction,,+915550000008,https://www.magicbricks.com/talegaon-mangrul-uc,Ready for fit-out December 2026,2026-08-27
talegaon-42000-sqft-shed-16m-15t,Talegaon,"Talegaon MIDC Phase II, near Dhamane",Shed,18.7389,73.6857,39000,3000,42000,18000,16.0,15,2,250,Trimix,8,3,1,Sprinkler + hydrant,true,40,29,,9,Ready,,+915550000003,https://www.99acres.com/talegaon-dhamane-shed,16m clear height suits tall press lines,2026-08-14
talegaon-12000-sqft-unit-no-coords,Talegaon,Talegaon MIDC Phase I,Shed,,,11000,1000,12000,,9.0,,,45,Plain RCC,,1,0,,false,10,21,,3,Ready,,+915550000001,https://www.realestateindia.com/talegaon-12000,Location shared only on enquiry,2026-06-24
talegaon-70000-sqft-btos-plot,Talegaon,"Talegaon MIDC Phase II, Sadumbre",Factory building,18.7501,73.6978,66000,4000,70000,50000,12.0,10,,200,Trimix,6,4,2,Sprinkler + hydrant,true,60,,1890000,12,Built-to-suit,,+915550000008,https://www.squareyards.com/talegaon-btos,Built to tenant drawings; crane capacity to suit,2026-08-27
ranjangaon-180000-sqft-warehouse-15m,Ranjangaon,"Ranjangaon MIDC, near the LG plant",Warehouse,18.7623,74.2412,176000,4000,180000,75000,15.0,,,200,VDF,8,18,4,Sprinkler + hydrant,true,120,22,,6,Ready,,+915550000005,https://www.magicbricks.com/ranjangaon-warehouse-lg,Large distribution box on the Nagar Road corridor,2026-08-29
ranjangaon-48000-sqft-shed-12m-10t,Ranjangaon,"Ranjangaon MIDC Phase II, Karegaon",Shed,18.7688,74.2478,44000,4000,48000,20000,12.0,10,2,150,Trimix,6,3,1,Sprinkler + hydrant,true,40,21,,6,Ready,,+915550000005,https://www.99acres.com/ranjangaon-karegaon-shed,,2026-08-29
ranjangaon-25000-sqft-shed-partial,Ranjangaon,Ranjangaon MIDC Phase I,Shed,18.7554,74.2334,23000,2000,25000,8000,10.0,,,,Trimix,,2,1,,,20,20,,6,Ready,,+915550000012,https://www.realestateindia.com/ranjangaon-25000,Power sanction under transfer,2026-07-16
ranjangaon-110000-sqft-factory-18m-40t,Ranjangaon,"Ranjangaon MIDC Phase II, near Fiat",Factory building,18.7712,74.2521,104000,6000,110000,55000,18.0,40,4,600,Trimix,12,6,3,Sprinkler + hydrant,true,150,26,,12,Ready,,+915550000005,https://www.squareyards.com/ranjangaon-heavy-factory,Ex-OEM press shop with four 40T cranes,2026-08-29
ranjangaon-16000-sqft-shed-9m,Ranjangaon,"Ranjangaon MIDC Phase I, Dhoksanghavi",Shed,18.7489,74.2287,15000,1000,16000,4000,9.0,,,50,Plain RCC,,1,1,,false,12,19,,3,Ready,,+915550000012,https://www.99acres.com/ranjangaon-dhoksanghavi,,2026-07-16
ranjangaon-62000-sqft-warehouse-lumpsum,Ranjangaon,"Ranjangaon MIDC, Pune-Nagar Highway",Warehouse,18.7601,74.2456,60000,2000,62000,24000,13.0,,,100,VDF,6,8,2,Sprinkler + hydrant,true,50,,1302000,6,Ready,,+915550000012,https://www.magicbricks.com/ranjangaon-highway,,2026-08-08
ranjangaon-35000-sqft-shed-btos,Ranjangaon,"Ranjangaon MIDC Phase II, Shirur side",Shed,18.7745,74.2563,32000,3000,35000,16000,12.0,,,,Trimix,6,2,1,Fire NOC,true,30,20,,9,Built-to-suit,,+915550000005,https://www.squareyards.com/ranjangaon-btos-shed,Crane and power to tenant specification,2026-08-29
ranjangaon-28000-sqft-shed-leased,Ranjangaon,Ranjangaon MIDC Phase I,Shed,18.7532,74.2356,26000,2000,28000,9000,11.0,5,1,120,Trimix,5,2,1,Fire NOC,true,22,,560000,6,Leased out,,+915550000012,https://www.99acres.com/ranjangaon-28000,,2026-07-16
wagholi-40000-sqft-warehouse-12m,Wagholi,"Wagholi, Pune-Nagar Road near Kesnand",Warehouse,18.5834,73.9812,38000,2000,40000,12000,12.0,,,80,VDF,5,6,2,Sprinkler + hydrant,true,35,30,,6,Ready,,+915550000014,https://www.magicbricks.com/wagholi-kesnand-warehouse,,2026-08-22
wagholi-18000-sqft-shed-10m,Wagholi,"Wagholi, Awhalwadi Road",Shed,18.5901,73.9903,17000,1000,18000,5000,10.0,5,1,75,Trimix,5,2,1,Fire NOC,true,15,29,,6,Ready,,+915550000014,https://www.99acres.com/wagholi-awhalwadi,,2026-08-22
wagholi-7000-sqft-godown,Wagholi,"Wagholi, Bakori Phata",Warehouse,18.5789,73.9756,7000,,7000,1500,6.5,,,30,Plain RCC,,1,1,,false,5,28,,3,Ready,,+915550000001,https://www.realestateindia.com/wagholi-bakori,Small godown on the service road,2026-06-30
wagholi-55000-sqft-warehouse-docks,Wagholi,"Wagholi, near Lonikand",Warehouse,18.5967,73.9988,53000,2000,55000,20000,13.0,,,120,VDF,6,8,2,Sprinkler + hydrant,true,50,31,,6,Ready,,+915550000014,https://www.magicbricks.com/wagholi-lonikand,,2026-08-22
wagholi-24000-sqft-shed-crane-provision,Wagholi,"Wagholi, Kesnand Road",Shed,18.5856,73.9845,22000,2000,24000,7000,11.0,0,,90,Trimix,5,2,1,Fire NOC,,20,30,,6,Ready,,+915550000014,https://www.99acres.com/wagholi-kesnand-road,Crane provision only; gantry not erected,2026-08-01
wagholi-13000-sqft-unit-unknown-floor,Wagholi,Wagholi,Shed,18.5812,73.9778,12000,1000,13000,,9.0,,,60,Unknown,,1,1,,,10,27,,3,Ready,,+915550000001,https://www.realestateindia.com/wagholi-13000,,2026-07-05
nigdi-16000-sqft-shed-9m,Nigdi,"Nigdi, near Bhakti Shakti",Shed,18.6512,73.7689,15000,1000,16000,3000,9.0,3,1,60,Trimix,4,1,1,Fire NOC,true,12,42,,6,Ready,,+915550000007,https://www.99acres.com/nigdi-bhakti-shakti,,2026-08-11
nigdi-9500-sqft-unit-7m,Nigdi,"Nigdi, Sector 25",Shed,18.6478,73.7723,9000,500,9500,1500,7.0,,,40,Plain RCC,,0,1,,false,8,40,,3,Ready,,+915550000007,https://www.realestateindia.com/nigdi-sector-25,,2026-08-11
nigdi-30000-sqft-warehouse-11m,Nigdi,"Nigdi, Pradhikaran industrial belt",Warehouse,18.6545,73.7756,29000,1000,30000,7000,11.0,,,90,VDF,5,4,1,Sprinkler + hydrant,true,25,44,,6,Ready,,+915550000007,https://www.magicbricks.com/nigdi-pradhikaran,,2026-08-11
nigdi-21000-sqft-shed-leased,Nigdi,"Nigdi, near Akurdi railway station",Shed,18.6489,73.7645,20000,1000,21000,4000,10.0,5,1,80,Trimix,5,2,1,Fire NOC,true,18,,924000,6,Leased out,,+915550000007,https://www.99acres.com/nigdi-akurdi,,2026-07-25
hinjawadi-35000-sqft-shed-11m,Hinjawadi,"Hinjawadi Phase III, Maan",Shed,18.5912,73.6845,32000,3000,35000,10000,11.0,5,1,100,Trimix,5,2,1,Sprinkler + hydrant,true,30,34,,6,Ready,,+915550000004,https://www.99acres.com/hinjawadi-maan-shed,,2026-08-19
hinjawadi-60000-sqft-warehouse-13m,Hinjawadi,"Hinjawadi Phase III, near Rajiv Gandhi Infotech Park",Warehouse,18.5956,73.6912,58000,2000,60000,18000,13.0,,,120,VDF,6,6,2,Sprinkler + hydrant,true,50,35,,6,Ready,,+915550000004,https://www.magicbricks.com/hinjawadi-phase-3,,2026-08-19
hinjawadi-14000-sqft-unit-8m,Hinjawadi,"Hinjawadi Phase III, Marunji",Shed,18.5878,73.6789,13000,1000,14000,3000,8.0,,,50,Plain RCC,,1,1,,false,10,32,,3,Ready,,+915550000004,https://www.realestateindia.com/hinjawadi-marunji,,2026-07-12
hinjawadi-48000-sqft-factory-14m-10t,Hinjawadi,"Hinjawadi Phase III, Nere",Factory building,18.6001,73.6956,44000,4000,48000,20000,14.0,10,2,220,Trimix,7,3,1,Sprinkler + hydrant,true,45,36,,9,Ready,,+915550000004,https://www.squareyards.com/hinjawadi-nere-factory,,2026-08-19
hinjawadi-22000-sqft-shed-uc,Hinjawadi,"Hinjawadi Phase III, Maan",Shed,18.5923,73.6867,20000,2000,22000,6000,10.5,,,80,Trimix,5,2,1,Fire NOC,true,20,33,,6,Under construction,,+915550000004,https://www.99acres.com/hinjawadi-maan-uc,Slab cast; handover March 2027,2026-08-19
pirangut-26000-sqft-shed-10m,Pirangut,"Pirangut MIDC, near Paud Road",Shed,18.5178,73.6612,24000,2000,26000,8000,10.0,5,1,90,Trimix,5,2,1,Fire NOC,true,20,25,,6,Ready,,+915550000011,https://www.99acres.com/pirangut-paud-road,,2026-08-16
pirangut-45000-sqft-factory-12m-15t,Pirangut,"Pirangut MIDC, Kasar Amboli",Factory building,18.5234,73.6689,41000,4000,45000,18000,12.0,15,2,200,Trimix,7,3,1,Sprinkler + hydrant,true,40,27,,9,Ready,,+915550000011,https://www.squareyards.com/pirangut-kasar-amboli,,2026-08-16
pirangut-11000-sqft-unit-no-power,Pirangut,"Pirangut MIDC, Bhukum",Shed,18.5112,73.6545,10000,1000,11000,2500,8.0,,,,Plain RCC,,1,0,,false,8,23,,3,Ready,,+915550000011,https://www.realestateindia.com/pirangut-bhukum,Sanctioned load not stated by the owner,2026-07-22
pirangut-70000-sqft-warehouse-13m,Pirangut,"Pirangut MIDC, near Ghotawade Phata",Warehouse,18.5289,73.6734,68000,2000,70000,25000,13.0,,,110,VDF,6,8,2,Sprinkler + hydrant,true,55,24,,6,Ready,,+915550000011,https://www.magicbricks.com/pirangut-ghotawade,,2026-08-16
pirangut-33000-sqft-shed-no-coords,Pirangut,Pirangut MIDC,Shed,,,30000,3000,33000,,11.5,10,1,150,Trimix,6,2,1,Sprinkler + hydrant,true,28,26,,6,Ready,,+915550000011,https://www.99acres.com/pirangut-33000,Plot number withheld until enquiry,2026-08-16
other-shirwal-80000-sqft-warehouse,Other,"Shirwal, Pune-Satara Highway",Warehouse,18.1789,73.9812,78000,2000,80000,30000,12.0,,,100,VDF,6,8,2,Sprinkler + hydrant,true,60,18,,6,Ready,,+915550000012,https://www.magicbricks.com/shirwal-warehouse,Outside the core Pune clusters; on the Satara corridor,2026-08-08
